text,label
Weekly Update Here's what happened this week in our department.,normal
Urgent: Meeting rescheduled Please note the meeting has been moved to 4PM.,urgent
Lunch plans? Want to grab lunch tomorrow?,normal
Important: Action required We need you to complete the following task by EOD.,urgent
Important: Action required We need you to complete the following task by EOD.,urgent
Please review the attached file The file you requested is attached. Let me know your thoughts.,normal
Weekly Update Here's what happened this week in our department.,normal
Important: Client feedback The client said they appreciate our promptness.,urgent
Weekly Update Here's what happened this week in our department.,normal
Casual Friday notice Wear something fun this Friday!,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
Urgent: Meeting rescheduled Please note the meeting has been moved to 4PM.,urgent
Urgent: Meeting rescheduled Please note the meeting has been moved to 4PM.,urgent
Weekly Update Here's what happened this week in our department.,normal
Important: Action required We need you to complete the following task by EOD.,urgent
Important: Action required We need you to complete the following task by EOD.,urgent
Important: Client feedback The client said they appreciate our promptness.,urgent
Casual Friday notice Wear something fun this Friday!,normal
Urgent: Meeting rescheduled Please note the meeting has been moved to 4PM.,urgent
Important: Client feedback The client said they appreciate our promptness.,urgent
Important: Action required We need you to complete the following task by EOD.,urgent
Important: Client feedback The client said they appreciate our promptness.,urgent
FYI: Market trends report The attached report outlines the latest trends.,normal
Important: Action required We need you to complete the following task by EOD.,urgent
Reminder: Project deadline Just a reminder that the deadline is tomorrow.,normal
Casual Friday notice Wear something fun this Friday!,normal
Lunch plans? Want to grab lunch tomorrow?,normal
Urgent: Meeting rescheduled Please note the meeting has been moved to 4PM.,urgent
Please review the attached file The file you requested is attached. Let me know your thoughts.,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
Lunch plans? Want to grab lunch tomorrow?,normal
Please review the attached file The file you requested is attached. Let me know your thoughts.,normal
Important: Action required We need you to complete the following task by EOD.,urgent
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
Weekly Update Here's what happened this week in our department.,normal
Weekly Update Here's what happened this week in our department.,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
Weekly Update Here's what happened this week in our department.,normal
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
Casual Friday notice Wear something fun this Friday!,normal
Lunch plans? Want to grab lunch tomorrow?,normal
Urgent: Meeting rescheduled Please note the meeting has been moved to 4PM.,urgent
Reminder: Project deadline Just a reminder that the deadline is tomorrow.,normal
Important: Client feedback The client said they appreciate our promptness.,urgent
Weekly Update Here's what happened this week in our department.,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
Weekly Update Here's what happened this week in our department.,normal
Important: Client feedback The client said they appreciate our promptness.,urgent
Lunch plans? Want to grab lunch tomorrow?,normal
Casual Friday notice Wear something fun this Friday!,normal
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
Casual Friday notice Wear something fun this Friday!,normal
Important: Action required We need you to complete the following task by EOD.,urgent
Weekly Update Here's what happened this week in our department.,normal
Urgent: Meeting rescheduled Please note the meeting has been moved to 4PM.,urgent
Important: Action required We need you to complete the following task by EOD.,urgent
Lunch plans? Want to grab lunch tomorrow?,normal
Weekly Update Here's what happened this week in our department.,normal
Important: Action required We need you to complete the following task by EOD.,urgent
Weekly Update Here's what happened this week in our department.,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
Lunch plans? Want to grab lunch tomorrow?,normal
Reminder: Project deadline Just a reminder that the deadline is tomorrow.,normal
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
Please review the attached file The file you requested is attached. Let me know your thoughts.,normal
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
Important: Action required We need you to complete the following task by EOD.,urgent
Lunch plans? Want to grab lunch tomorrow?,normal
Weekly Update Here's what happened this week in our department.,normal
Casual Friday notice Wear something fun this Friday!,normal
Please review the attached file The file you requested is attached. Let me know your thoughts.,normal
Important: Client feedback The client said they appreciate our promptness.,urgent
Important: Action required We need you to complete the following task by EOD.,urgent
Please review the attached file The file you requested is attached. Let me know your thoughts.,normal
Reminder: Project deadline Just a reminder that the deadline is tomorrow.,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
Lunch plans? Want to grab lunch tomorrow?,normal
Important: Client feedback The client said they appreciate our promptness.,urgent
Important: Action required We need you to complete the following task by EOD.,urgent
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
Urgent: Meeting rescheduled Please note the meeting has been moved to 4PM.,urgent
Important: Action required We need you to complete the following task by EOD.,urgent
Urgent: Meeting rescheduled Please note the meeting has been moved to 4PM.,urgent
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
FYI: Market trends report The attached report outlines the latest trends.,normal
Lunch plans? Want to grab lunch tomorrow?,normal
Weekly Update Here's what happened this week in our department.,normal
Important: Action required We need you to complete the following task by EOD.,urgent
Casual Friday notice Wear something fun this Friday!,normal
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
Important: Action required We need you to complete the following task by EOD.,urgent
Reminder: Project deadline Just a reminder that the deadline is tomorrow.,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
Reminder: Project deadline Just a reminder that the deadline is tomorrow.,normal
Please review the attached file The file you requested is attached. Let me know your thoughts.,normal
Lunch plans? Want to grab lunch tomorrow?,normal
Please review the attached file The file you requested is attached. Let me know your thoughts.,normal
Important: Action required We need you to complete the following task by EOD.,urgent
Important: Client feedback The client said they appreciate our promptness.,urgent
Important: Client feedback The client said they appreciate our promptness.,urgent
Lunch plans? Want to grab lunch tomorrow?,normal
Casual Friday notice Wear something fun this Friday!,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
Casual Friday notice Wear something fun this Friday!,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
Urgent: Security alert There was a login attempt from a new device. Please verify.,urgent
Important: Action required We need you to complete the following task by EOD.,urgent
Please review the attached file The file you requested is attached. Let me know your thoughts.,normal
Important: Client feedback The client said they appreciate our promptness.,urgent
Reminder: Project deadline Just a reminder that the deadline is tomorrow.,normal
Weekly Update Here's what happened this week in our department.,normal
Urgent: Meeting rescheduled Please note the meeting has been moved to 4PM.,urgent
Weekly Update Here's what happened this week in our department.,normal
Please review the attached file The file you requested is attached. Let me know your thoughts.,normal
Please review the attached file The file you requested is attached. Let me know your thoughts.,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
Casual Friday notice Wear something fun this Friday!,normal
Weekly Update Here's what happened this week in our department.,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
FYI: Market trends report The attached report outlines the latest trends.,normal
Casual Friday notice Wear something fun this Friday!,normal
